DATE;Temp2
2018-1;5.4
2018-2;4
2018-3;6.7
2018-4;9.8
2018-5;13
2018-6;17.5
2018-7;20.2
2018-8;21
2018-9;17.2
2018-10;14.2
2018-11;9.1
2018-12;5.1
2019-1;3.5
2019-2;4.3
2019-3;7.2
2019-4;9.4
2019-5;12.2
2019-6;16.2
2019-7;21.5
2019-8;20.6
2019-9;17.1
2019-10;13.8
2019-11;6.6
2019-12;6.7
2020-1;4.5
2020-2;6.7
2020-3;7.6
2020-4;9.8
2020-5;14.7
2020-6;16.6
2020-7;19.7
2020-8;20.3
2020-9;16
2020-10;10.7
2020-11;8.9
2020-12;4.2
2021-1;3
2021-2;7.4
2021-3;6.9
2021-4;8
2021-5;12.2
2021-6;19
2021-7;20
2021-8;19.4
2021-9;18.4
2021-10;12.5
2021-11;8.9
2021-12;4.6
2022-1;1.8
2022-2;4.9
2022-3;8
2022-4;9.9
2022-5;14.9
2022-6;19.3
2022-7;21.5
2022-8;21.3
2022-9;16.9
2022-10;15.2
2022-11;9.4
2022-12;6.5